date_no_time,temp_max,temp_min,temp_avg,precip_total_diaria
2026-03-12,21.7,8.9,15.08,0.0
2026-03-13,22.8,9.1,15.82,0.0
2026-03-14,19.3,11.2,14.8,0.0
2026-03-15,19.3,9.0,14.15,0.0
2026-03-16,21.6,9.0,15.18,0.0
2026-03-17,23.3,10.3,16.38,0.0
2026-03-18,16.6,12.5,14.37,11.5
